sprint_id,matched_track,frame,frame_difference,match_type,angle,velocity_diff,proximity_duration,max_distance,target_team,matched_team,score
252.0,121,6177.0,4.0,end_match,5.0636168530300525,0.22360679774997902,30,6.324555320336759,0.0,0.0,0.10540462927253534
299.0,132,6266.0,-18.0,end_match,16.85839876773825,0.2,97,18.973665961010276,0.0,0.0,0.15738932511825504
365.0,223,10060.0,-57.0,start_match,8.537736462515939e-07,0.0,53,30.4138126514911,0.0,0.0,0.12903488469746371
382.0,284,10530.0,-34.0,end_match,18.434948822922017,0.14142135623730953,150,20.248456731316587,0.0,0.0,0.16532606569067299
438.0,313,12262.0,6.0,start_match,14.036243467926484,0.5,63,18.788294228055936,1.0,1.0,0.22519773305452703
446.0,286,12329.0,-19.0,start_match,15.255118703057791,0.412310562561766,21,7.280109889280518,0.0,1.0,0.3991629038660718
515.0,343,13863.0,10.0,end_match,7.572948640543414,0.2236067977499789,23,11.40175425099138,0.0,0.0,0.2290758830315046
557.0,378,15493.0,31.0,end_match,4.610649318660583,0.3162277660168378,13,2.8284271247461903,1.0,1.0,0.3034968885486037
582.0,379,15493.0,-8.0,end_match,21.50143432404789,0.7280109889280517,54,11.704699910719626,1.0,1.0,0.34746859283286113
611.0,380,15502.0,26.0,end_match,2.9384591222024516,0.14142135623730923,14,5.385164807134504,0.0,0.0,0.25454066539547815
673.0,524,19360.0,20.0,start_match,5.856013585428907,0.22360679774997896,42,26.1725046566048,0.0,1.0,0.18876145011952186
716.0,606,20740.0,67.0,end_match,0.7638984609294045,0.2236067977499789,11,13.038404810405298,1.0,0.0,0.40310345922454227
