start_frame,end_frame,tracking_id,team_id,duration_frames,duration_seconds,max_speed,avg_speed,distance
2099.0,2211.0,52.0,0,113.0,4.035714285714286,6.852198067399883,5.9468249142145115,23.99968626093714
2085.0,2256.0,108.0,0,172.0,6.142857142857143,5.864396134799764,5.310803532966384,32.623507416793494
2076.0,2215.0,113.0,0,140.0,5.0,6.852198067399883,5.800590765509837,29.002953827549184
2040.0,2268.0,118.0,1,210.0,7.5,7.075271624494057,5.834857459503273,43.76143094627456
2119.0,2292.0,124.0,0,131.0,4.678571428571429,7.630066304046217,6.458446601823709,30.216303744246645
4141.0,4242.0,150.0,1,102.0,3.642857142857143,5.996594202199647,5.364301456743221,19.541383878136024
4183.0,4287.0,151.0,1,105.0,3.75,6.688792269599529,5.685912173844215,21.322170651915805
4266.0,4384.0,154.0,1,89.0,3.1785714285714284,6.592711459457396,5.568025267670631,17.69836602938165
4268.0,4379.0,158.0,1,100.0,3.5714285714285716,6.64746969189394,5.588518977806634,19.958996349309402
15065.0,15182.0,318.0,1,118.0,4.214285714285714,5.536355729728698,5.09198793937904,21.45909203024024
15078.0,15203.0,320.0,0,111.0,3.9642857142857144,6.556594202199646,5.50283468235097,21.814808919319933
18210.0,18317.0,438.0,0,108.0,3.857142857142857,6.984396134799764,5.879674999718742,22.678746427486573
18237.0,18325.0,439.0,1,89.0,3.1785714285714284,5.7321980673998825,5.364647895422881,17.05191652473701
27516.0,27602.0,718.0,1,87.0,3.107142857142857,7.72614711418835,6.012546843077342,18.681841976704607
27448.0,27601.0,720.0,0,154.0,5.5,6.424396134799764,5.4493986712425535,29.971692691834043
27511.0,27647.0,731.0,0,109.0,3.892857142857143,8.763501958777173,7.556663343863451,29.417010874325573
28410.0,28590.0,737.0,0,101.0,3.607142857142857,8.854377448471464,6.976918009554067,25.16673996303431
29435.0,29580.0,794.0,0,146.0,5.214285714285714,6.515271624494057,5.71559666738995,29.80275405139045
29462.0,29613.0,796.0,0,121.0,4.321428571428571,7.635271624494058,6.288800890437331,27.176603847961317
29466.0,29593.0,798.0,0,128.0,4.571428571428571,7.72614711418835,6.520790339979131,29.809327268476032
35188.0,35388.0,972.0,1,140.0,5.0,7.552626469082878,6.208425523232695,31.04212761616348
35237.0,35355.0,1039.0,0,115.0,4.107142857142857,7.256153704373365,6.122988593206818,25.147988864956588
